,"filename","prompt","original_vid_fps","sampling_fps","pose_height_class","pose_height_value","translation","pose_misc","pose_metadata_filename","person_placeholder","action_placeholder","place_placeholder","experiment_comment"
0,"001_StandUpAndSit_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A man gets up and sits back on a chair in a park. The camera moves from left to right.",15,5,"normal",350,"L2Rst2","NA","001_StandUpAndSit","A man","gets up and sits back on a chair","in a park","camera_motion"
1,"001_StandUpAndSit_hrnet_stickfigure_5_normal_L2Rst2_NA.npy","A woman gets up and sits back on a chair in a park. The camera moves from left to right.",15,5,"normal",350,"L2Rst2","NA","001_StandUpAndSit","A woman","gets up and sits back on a chair","in a park","camera_motion"
2,"001_StandUpAndSit_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A man gets up and sits back on a chair in a park. The camera moves from left to right.",15,5,"normal",350,"L2Rst5","NA","001_StandUpAndSit","A man","gets up and sits back on a chair","in a park","camera_motion"
3,"001_StandUpAndSit_hrnet_stickfigure_5_normal_L2Rst5_NA.npy","A woman gets up and sits back on a chair in a park. The camera moves from left to right.",15,5,"normal",350,"L2Rst5","NA","001_StandUpAndSit","A woman","gets up and sits back on a chair","in a park","camera_motion"
4,"001_StandUpAndSit_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A man gets up and sits back on a chair in a park. The camera moves from left to right.",15,5,"normal",350,"L2Rst8","NA","001_StandUpAndSit","A man","gets up and sits back on a chair","in a park","camera_motion"
5,"001_StandUpAndSit_hrnet_stickfigure_5_normal_L2Rst8_NA.npy","A woman gets up and sits back on a chair in a park. The camera moves from left to right.",15,5,"normal",350,"L2Rst8","NA","001_StandUpAndSit","A woman","gets up and sits back on a chair","in a park","camera_motion"
6,"001_StandUpAndSit_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A man gets up and sits back on a chair in a park. The camera moves from right to left.",15,5,"normal",350,"R2Lst2","NA","001_StandUpAndSit","A man","gets up and sits back on a chair","in a park","camera_motion"
7,"001_StandUpAndSit_hrnet_stickfigure_5_normal_R2Lst2_NA.npy","A woman gets up and sits back on a chair in a park. The camera moves from right to left.",15,5,"normal",350,"R2Lst2","NA","001_StandUpAndSit","A woman","gets up and sits back on a chair","in a park","camera_motion"
8,"001_StandUpAndSit_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A man gets up and sits back on a chair in a park. The camera moves from right to left.",15,5,"normal",350,"R2Lst5","NA","001_StandUpAndSit","A man","gets up and sits back on a chair","in a park","camera_motion"
9,"001_StandUpAndSit_hrnet_stickfigure_5_normal_R2Lst5_NA.npy","A woman gets up and sits back on a chair in a park. The camera moves from right to left.",15,5,"normal",350,"R2Lst5","NA","001_StandUpAndSit","A woman","gets up and sits back on a chair","in a park","camera_motion"
10,"001_StandUpAndSit_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A man gets up and sits back on a chair in a park. The camera moves from right to left.",15,5,"normal",350,"R2Lst8","NA","001_StandUpAndSit","A man","gets up and sits back on a chair","in a park","camera_motion"
11,"001_StandUpAndSit_hrnet_stickfigure_5_normal_R2Lst8_NA.npy","A woman gets up and sits back on a chair in a park. The camera moves from right to left.",15,5,"normal",350,"R2Lst8","NA","001_StandUpAndSit","A woman","gets up and sits back on a chair","in a park","camera_motion"
12,"001_StandUpAndSit_hrnet_stickfigure_5_normal_Zin5_NA.npy","A man gets up and sits back on a chair in a park. The camera moves closer to the person.",15,5,"normal",350,"Zin5","NA","001_StandUpAndSit","A man","gets up and sits back on a chair","in a park","camera_motion"
